,cardname,text,cmc,type
2984,Abyssal Horror,"Flying
When Abyssal Horror enters the battlefield, target player discards two cards.",6.0,Creature — Horror
2985,Femeref Enchantress,"Whenever an enchantment is put into a graveyard from the battlefield, draw a card.",2.0,Creature — Human Druid
2986,Samite Sanctuary,{2}: Prevent the next 1 damage that would be dealt to target creature this turn. Any player may activate this ability.,3.0,Enchantment
2987,Leonin Skyhunter,Flying,2.0,Creature — Cat Knight
2988,Renowned Weaponsmith,"{T}: Add {C}{C}. Spend this mana only to cast artifact spells or activate abilities of artifacts.
{U}, {T}: Search your library for a card named Heart-Piercer Bow or Vial of Dragonfire, reveal it, put it into your hand, then shuffle.",2.0,Creature — Human Artificer
2989,In the Web of War,"Whenever a creature enters the battlefield under your control, it gets +2/+0 and gains haste until end of turn.",5.0,Enchantment
2990,"Kiku, Night's Flower","{2}{B}{B}, {T}: Target creature deals damage to itself equal to its power.",2.0,Legendary Creature — Human Assassin
2991,Life Chisel,Sacrifice a creature: You gain life equal to the sacrificed creature's toughness. Activate only during your upkeep.,4.0,Artifact
2992,Deep Analysis,"Target player draws two cards.
Flashback—{1}{U}, Pay 3 life. (You may cast this card from your graveyard for its flashback cost. Then exile it.)",4.0,Sorcery
2993,Phyrexian Digester,Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.),3.0,Artifact Creature — Phyrexian Construct
2994,Circle of Protection: Red,"{1}: The next time a red source of your choice would deal damage to you this turn, prevent that damage.",2.0,Enchantment
2995,Ertai's Meddling,"X can't be 0.
Target spell's controller exiles it with X delay counters on it.
At the beginning of each of that player's upkeeps, if that card is exiled, remove a delay counter from it. If the card has no delay counters on it, the player puts it onto the stack as a copy of the original spell.",1.0,Instant
2996,Skarrgan Firebird,"Bloodthirst 3 (If an opponent was dealt damage this turn, this creature enters the battlefield with three +1/+1 counters on it.)
Flying
{R}{R}{R}: Return Skarrgan Firebird from your graveyard to your hand. Activate only if an opponent was dealt damage this turn.",6.0,Creature — Phoenix
2997,Thalakos Deceiver,"Shadow (This creature can block or be blocked by only creatures with shadow.)
Whenever Thalakos Deceiver attacks and isn't blocked, you may sacrifice it. If you do, gain control of target creature. (This effect lasts indefinitely.)",4.0,Creature — Thalakos Wizard
2998,Precinct Captain,"First strike
Whenever Precinct Captain deals combat damage to a player, create a 1/1 white Soldier creature token.",2.0,Creature — Human Soldier
2999,Granite Grip,"Enchant creature
Enchanted creature gets +1/+0 for each Mountain you control.",3.0,Enchantment — Aura
3000,"Padeem, Consul of Innovation","Artifacts you control have hexproof.
At the beginning of your upkeep, if you control the artifact with the highest mana value or tied for the highest mana value, draw a card.",4.0,Legendary Creature — Vedalken Artificer
3001,Power Plant Worker,"{3}: Power Plant Worker gets +2/+2 until end of turn. If you control creatures named Mine Worker and Tower Worker, put two +1/+1 counters on Power Plant Worker instead. Activate only once each turn.",5.0,Artifact Creature — Assembly-Worker
3002,Dinosaur Hunter,"Whenever Dinosaur Hunter deals damage to a Dinosaur, destroy that creature.",2.0,Creature — Human Pirate
3003,Inferno Titan,"{R}: Inferno Titan gets +1/+0 until end of turn.
Whenever Inferno Titan enters the battlefield or attacks, it deals 3 damage divided as you choose among one, two, or three targets.",6.0,Creature — Giant
3004,"Chainer, Nightmare Adept","Discard a card: You may cast a creature spell from your graveyard this turn. Activate only once each turn.
Whenever a nontoken creature enters the battlefield under your control, if you didn't cast it from your hand, it gains haste until your next turn.",4.0,Legendary Creature — Human Minion
3005,Baleful Stare,Target opponent reveals their hand. You draw a card for each Mountain and red card in it.,3.0,Sorcery
3006,Firecannon Blast,"Firecannon Blast deals 3 damage to target creature.
Raid — Firecannon Blast deals 6 damage instead if you attacked this turn.",3.0,Sorcery
3007,Gingerbread Cabin,"({T}: Add {G}.)
Gingerbread Cabin enters the battlefield tapped unless you control three or more other Forests.
When Gingerbread Cabin enters the battlefield untapped, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")",0.0,Land — Forest
3008,Defiler of Vigor,"Trample
As an additional cost to cast green permanent spells, you may pay 2 life. Those spells cost {G} less to cast if you paid life this way. This effect reduces only the amount of green mana you pay.
Whenever you cast a green permanent spell, put a +1/+1 counter on each creature you control.",5.0,Creature — Phyrexian Wurm
3009,Hardened-Scale Armor,"Enchant creature
Enchanted creature gets +3/+3.",3.0,Enchantment — Aura
3010,Burn Trail,"Burn Trail deals 3 damage to any target.
Conspire (As you cast this spell, you may tap two untapped creatures you control that share a color with it. When you do, copy it and you may choose a new target for the copy.)",4.0,Sorcery
3011,Dreamcaller Siren,"Flash
Flying
Dreamcaller Siren can block only creatures with flying.
When Dreamcaller Siren enters the battlefield, if you control another Pirate, tap up to two target nonland permanents.",4.0,Creature — Siren Pirate
3012,Herbal Poultice,"{3}, Sacrifice Herbal Poultice: Regenerate target creature.",0.0,Artifact
3013,Organic Extinction,"Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for {1}.)
Destroy all nonartifact creatures.",10.0,Sorcery
3014,Sandsteppe Citadel,"Sandsteppe Citadel enters the battlefield tapped.
{T}: Add {W}, {B}, or {G}.",0.0,Land
3015,Hawkeater Moth,"Flying
Shroud (This creature can't be the target of spells or abilities.)",4.0,Creature — Insect
3016,Starlit Angel,Flying,5.0,Creature — Angel
3017,Alms Beast,Creatures blocking or blocked by Alms Beast have lifelink.,4.0,Creature — Beast
3018,Rift Bolt,"Rift Bolt deals 3 damage to any target.
Suspend 1—{R} (Rather than cast this card from your hand, you may pay {R} and exile it with a time counter on it. At the beginning of your upkeep, remove a time counter. When the last is removed, you may cast it without paying its mana cost.)",3.0,Sorcery
3019,Gosta Dirk,"First strike
Creatures with islandwalk can be blocked as though they didn't have islandwalk.",7.0,Legendary Creature — Human Warrior
3020,Blightspeaker,"{T}: Target player loses 1 life.
{4}, {T}: Search your library for a Rebel permanent card with mana value 3 or less, put it onto the battlefield, then shuffle.",2.0,Creature — Human Rebel Cleric
3021,Lifecraft Cavalry,"Trample
Revolt — Lifecraft Cavalry enters the battlefield with two +1/+1 counters on it if a permanent you controlled left the battlefield this turn.",5.0,Creature — Elf Warrior
3022,Chain Devil,"Animate Chains — When Chain Devil enters the battlefield, each player sacrifices a nontoken creature.",4.0,Creature — Devil
3023,"Zhou Yu, Chief Commander","Zhou Yu, Chief Commander can't attack unless defending player controls an Island.",7.0,Legendary Creature — Human Soldier
3024,"Dong Zhou, the Tyrant","When Dong Zhou, the Tyrant enters the battlefield, target creature an opponent controls deals damage equal to its power to that player.",5.0,Legendary Creature — Human Soldier
3025,Embereth Skyblazer,"As long as it's your turn, Embereth Skyblazer has flying.
Whenever Embereth Skyblazer attacks, you may pay {2}{R}. If you do, creatures you control get +X/+0 until end of turn, where X is the number of opponents you have.",4.0,Creature — Human Knight
3026,Angelic Curator,"Flying, protection from artifacts",2.0,Creature — Angel Spirit
3027,Goblin Outlander,Protection from white,2.0,Creature — Goblin Scout
3028,Beastcaller Savant,"Haste
{T}: Add one mana of any color. Spend this mana only to cast a creature spell.",2.0,Creature — Elf Shaman Ally
3029,Blue Sun's Twilight,"Gain control of target creature with mana value X or less. If X is 5 or more, create a token that's a copy of that creature.",2.0,Sorcery
3030,King's Assassin,"{T}: Destroy target tapped creature. Activate only during your turn, before attackers are declared.",3.0,Creature — Human Assassin
3031,Changeling Outcast,"Changeling (This card is every creature type.)
Changeling Outcast can't block and can't be blocked.",1.0,Creature — Shapeshifter
3032,Big Play,Target creature gets +2/+2 and gains reach until end of turn. Put a +1/+1 counter on it.,2.0,Instant
3033,Thicket Basilisk,"Whenever Thicket Basilisk blocks or becomes blocked by a non-Wall creature, destroy that creature at end of combat.",5.0,Creature — Basilisk
3034,Reap the Seagraf,"Create a 2/2 black Zombie creature token.
Flashback {4}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",3.0,Sorcery
3035,"Feather, Radiant Arbiter","Flying, lifelink
Whenever you cast a noncreature spell that targets only Feather, Radiant Arbiter, you may choose any number of other creatures that spell could target and pay {2} for each of those creatures. If you do, for each of those creatures, copy that spell. The copy targets that creature. (Copies of permanent spells become tokens.)",3.0,Legendary Creature — Angel
3036,Puncture Blast,"Wither (This deals damage to creatures in the form of -1/-1 counters.)
Puncture Blast deals 3 damage to any target.",3.0,Instant
3037,Cave People,"Whenever Cave People attacks, it gets +1/-2 until end of turn.
{1}{R}{R}, {T}: Target creature gains mountainwalk until end of turn. (It can't be blocked as long as defending player controls a Mountain.)",3.0,Creature — Human
3038,Walking Sponge,"{T}: Target creature loses your choice of flying, first strike, or trample until end of turn.",2.0,Creature — Sponge
3039,"Atla Palani, Nest Tender","{2}, {T}: Create a 0/1 green Egg creature token with defender.
Whenever an Egg you control dies, reveal cards from the top of your library until you reveal a creature card. Put that card onto the battlefield and the rest on the bottom of your library in a random order.",4.0,Legendary Creature — Human Shaman
3040,Coastline Chimera,"Flying
{1}{W}: Coastline Chimera can block an additional creature this turn.",4.0,Creature — Chimera
3041,Deftblade Elite,"Provoke (Whenever this creature attacks, you may have target creature defending player controls untap and block it if able.)
{1}{W}: Prevent all combat damage that would be dealt to and dealt by Deftblade Elite this turn.",1.0,Creature — Human Soldier
3042,Rootbreaker Wurm,Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.),7.0,Creature — Wurm
3043,Taoist Mystic,Taoist Mystic can't be blocked by creatures with horsemanship.,3.0,Creature — Human Mystic
3044,Starlight,You gain 3 life for each black creature target opponent controls.,2.0,Sorcery
3045,"Jason Bright, Glowing Prophet","Whenever a Zombie or Mutant you control dies, if its power was different from its base power, draw a card.
Come Fly With Me — {2}, Sacrifice a creature: Put a +1/+1 counter on target creature you control. It gains flying until end of turn.",3.0,Legendary Creature — Zombie Mutant Advisor
3046,Sapling of Colfenor,"Indestructible
Whenever Sapling of Colfenor attacks, reveal the top card of your library. If it's a creature card, you gain life equal to that card's toughness, lose life equal to its power, then put it into your hand.",5.0,Legendary Creature — Treefolk Shaman
3047,Daru Spiritualist,"Whenever a Cleric creature you control becomes the target of a spell or ability, it gets +0/+2 until end of turn.",2.0,Creature — Human Cleric
3048,Ignite Disorder,"Ignite Disorder deals 3 damage divided as you choose among one, two, or three target white and/or blue creatures.",2.0,Instant
3049,Zelyon Sword,"You may choose not to untap Zelyon Sword during your untap step.
{3}, {T}: Target creature gets +2/+0 for as long as Zelyon Sword remains tapped.",3.0,Artifact
3050,Chronozoa,"Flying
Vanishing 3 (This creature enters the battlefield with three time counters on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.)
When Chronozoa dies, if it had no time counters on it, create two tokens that are copies of it.",4.0,Creature — Illusion
3051,"Marchesa, Dealer of Death","Whenever you commit a crime, you may pay {1}. If you do, look at the top two cards of your library. Put one of them into your hand and the other into your graveyard. (Targeting opponents, anything they control, and/or cards in their graveyards is a crime.)",3.0,Legendary Creature — Human Rogue
3052,Jerrard of the Closed Fist,,6.0,Legendary Creature — Human Knight
3053,"Malcolm, Keen-Eyed Navigator","Flying
Whenever one or more Pirates you control deal damage to your opponents, you create a Treasure token for each opponent dealt damage. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")
Partner (You can have two commanders if both have partner.)",3.0,Legendary Creature — Siren Pirate
3054,Razorclaw Bear,"Whenever Razorclaw Bear becomes blocked, it gets +2/+2 until end of turn.",4.0,Creature — Bear
3055,Border Guard,,3.0,Creature — Human Soldier
3056,Riverwheel Aerialists,"Flying
Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)",6.0,Creature — Djinn Monk
3057,Aggressive Mining,"You can't play lands.
Sacrifice a land: Draw two cards. Activate only once each turn.",4.0,Enchantment
3058,Equilibrium,"Whenever you cast a creature spell, you may pay {1}. If you do, return target creature to its owner's hand.",3.0,Enchantment
3059,Natural State,Destroy target artifact or enchantment with mana value 3 or less.,1.0,Instant
3060,Lord of Shatterskull Pass,"Level up {1}{R} ({1}{R}: Put a level counter on this. Level up only as a sorcery.)
LEVEL 1-5
6/6
LEVEL 6+
6/6
Whenever Lord of Shatterskull Pass attacks, it deals 6 damage to each creature defending player controls.",4.0,Creature — Minotaur Shaman
3061,Massive Might,Target creature gets +2/+2 and gains trample until end of turn.,1.0,Instant
3062,Clout of the Dominus,"Enchant creature
As long as enchanted creature is blue, it gets +1/+1 and has shroud. (It can't be the target of spells or abilities.)
As long as enchanted creature is red, it gets +1/+1 and has haste.",1.0,Enchantment — Aura
3063,Graywater's Fixer,"Each outlaw creature card in your graveyard has encore {X}, where X is its mana value. (Exile it and pay its encore cost: For each opponent, create a token copy that attacks that opponent this turn if able. They gain haste. Sacrifice them at the beginning of the next end step. Activate only as a sorcery.)",4.0,Creature — Lizard Mercenary
3064,Dwarven Sea Clan,{T}: Choose target attacking or blocking creature whose controller controls an Island. Dwarven Sea Clan deals 2 damage to that creature at end of combat. Activate only before the end of combat step.,3.0,Creature — Dwarf
3065,Call Forth the Tempest,"Cascade, cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom of your library in a random order. Then do it again.)
Call Forth the Tempest deals damage to each creature your opponents control equal to the total mana value of other spells you've cast this turn.",8.0,Sorcery
3066,Floriferous Vinewall,"Defender
When Floriferous Vinewall enters the battlefield, look at the top six cards of your library. You may reveal a land card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",2.0,Creature — Plant Wall
3067,Tegwyll's Scouring,"You may cast Tegwyll's Scouring as though it had flash by tapping three untapped creatures you control with flying in addition to paying its other costs.
Destroy all creatures. Create three 1/1 black Faerie Rogue creature tokens with flying.",6.0,Sorcery
3068,Ancient Lumberknot,Each creature you control with toughness greater than its power assigns combat damage equal to its toughness rather than its power.,4.0,Creature — Treefolk
3069,Hunting Wilds,"Kicker {3}{G} (You may pay an additional {3}{G} as you cast this spell.)
Search your library for up to two Forest cards, put them onto the battlefield tapped, then shuffle.
If this spell was kicked, untap all Forests put onto the battlefield this way. They become 3/3 green creatures with haste that are still lands.",4.0,Sorcery
3070,Foresight,"Search your library for three cards, exile them, then shuffle.
Draw a card at the beginning of the next turn's upkeep.",2.0,Sorcery
3071,Pendelhaven,"{T}: Add {G}.
{T}: Target 1/1 creature gets +1/+2 until end of turn.",0.0,Legendary Land
3072,"Lagrella, the Magpie","When Lagrella, the Magpie enters the battlefield, exile any number of other target creatures controlled by different players until Lagrella leaves the battlefield. When an exiled card enters the battlefield under your control this way, put two +1/+1 counters on it.",3.0,Legendary Creature — Human Soldier
3073,Kitesail Scout,Flying,1.0,Creature — Kor Scout
3074,Mirrex,"{T}: Add {C}.
{T}: Add one mana of any color. Activate only if Mirrex entered the battlefield this turn.
{3}, {T}: Create a 1/1 colorless Phyrexian Mite artifact creature token with toxic 1 and ""This creature can't block."" (Players dealt combat damage by it also get a poison counter.)",0.0,Land — Sphere
3075,Banners Raised,Creatures you control get +1/+0 until end of turn.,1.0,Instant
3076,Coldsteel Heart,"Coldsteel Heart enters the battlefield tapped.
As Coldsteel Heart enters the battlefield, choose a color.
{T}: Add one mana of the chosen color.",2.0,Snow Artifact
3077,Glorious Enforcer,"Flying, lifelink
At the beginning of each combat, if you have more life than an opponent, Glorious Enforcer gains double strike until end of turn.",7.0,Creature — Angel
3078,Otherworldly Escort,"Flash
When Otherworldly Escort dies, if it's not a Spirit, return it to the battlefield under its owner's control with four charge counters on it. It's a Spirit Detective. (It's no longer a Human.)
{1}{W}, {T}, Remove a charge counter from Otherworldly Escort: Destroy target creature that dealt damage to you this turn.",4.0,Creature — Human Detective
3079,Noggle Bandit,Noggle Bandit can't be blocked except by creatures with defender.,3.0,Creature — Noggle Rogue
3080,Stalking Yeti,"When Stalking Yeti enters the battlefield, if it's on the battlefield, it deals damage equal to its power to target creature an opponent controls and that creature deals damage equal to its power to Stalking Yeti.
{2}{S}: Return Stalking Yeti to its owner's hand. Activate only as a sorcery. ({S} can be paid with one mana from a snow source.)",4.0,Snow Creature — Yeti
3081,Prowess of the Fair,"Whenever another nontoken Elf is put into your graveyard from the battlefield, you may create a 1/1 green Elf Warrior creature token.",2.0,Tribal Enchantment — Elf
3082,Enraged Giant,"Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for {1}.)
Trample, haste",6.0,Creature — Giant
3083,Fraying Omnipotence,"Each player loses half their life, then discards half the cards in their hand, then sacrifices half the creatures they control. Round up each time.",5.0,Sorcery
3084,Buy Your Silence,"Exile target nonland permanent. Its controller creates a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")",5.0,Sorcery
3085,Goblin Ruinblaster,"Kicker {R} (You may pay an additional {R} as you cast this spell.)
Haste
When Goblin Ruinblaster enters the battlefield, if it was kicked, destroy target nonbasic land.",3.0,Creature — Goblin Shaman
3086,Blur of Blades,Put a -1/-1 counter on target creature. Blur of Blades deals 2 damage to that creature's controller.,2.0,Instant
3087,Magma Jet,Magma Jet deals 2 damage to any target. Scry 2.,2.0,Instant
3088,"Ulamog, the Infinite Gyre","When you cast this spell, destroy target permanent.
Indestructible
Annihilator 4 (Whenever this creature attacks, defending player sacrifices four permanents.)
When Ulamog, the Infinite Gyre is put into a graveyard from anywhere, its owner shuffles their graveyard into their library.",11.0,Legendary Creature — Eldrazi
3089,Roast,Roast deals 5 damage to target creature without flying.,2.0,Sorcery
3090,Field Surgeon,Tap an untapped creature you control: Prevent the next 1 damage that would be dealt to target creature this turn.,2.0,Creature — Human Cleric
3091,God-Eternal Bontu,"Menace
When God-Eternal Bontu enters the battlefield, sacrifice any number of other permanents, then draw that many cards.
When God-Eternal Bontu dies or is put into exile from the battlefield, you may put it into its owner's library third from the top.",5.0,Legendary Creature — Zombie God
3092,Aether Charge,"Whenever a Beast enters the battlefield under your control, you may have it deal 4 damage to target opponent or planeswalker.",5.0,Enchantment
3093,Blood Glutton,Lifelink (Damage dealt by this creature also causes you to gain that much life.),5.0,Creature — Vampire
3094,Palliation Accord,"Whenever a creature an opponent controls becomes tapped, put a palliation counter on Palliation Accord.
Remove a palliation counter from Palliation Accord: Prevent the next 1 damage that would be dealt to you this turn.",5.0,Enchantment
3095,Midvast Protector,"When Midvast Protector enters the battlefield, target creature you control gains protection from the color of your choice until end of turn.",4.0,Creature — Human Wizard
3096,"Mirri, Cat Warrior","First strike, forestwalk, vigilance (This creature deals combat damage before creatures without first strike, it can't be blocked as long as defending player controls a Forest, and attacking doesn't cause this creature to tap.)",3.0,Legendary Creature — Cat Warrior
3097,Acrobatic Maneuver,"Exile target creature you control, then return that card to the battlefield under its owner's control.
Draw a card.",3.0,Instant
3098,Ninja of the Deep Hours,"Ninjutsu {1}{U} ({1}{U}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)
Whenever Ninja of the Deep Hours deals combat damage to a player, you may draw a card.",4.0,Creature — Human Ninja
3099,Frantic Purification,"Destroy target enchantment.
Madness {W} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)",3.0,Instant
3100,Springjack Shepherd,"Chroma — When Springjack Shepherd enters the battlefield, create a 0/1 white Goat creature token for each white mana symbol in the mana costs of permanents you control.",4.0,Creature — Kithkin Wizard
3101,Unity of Purpose,"Support 2. (Put a +1/+1 counter on each of up to two target creatures.)
Untap each creature you control with a +1/+1 counter on it.",4.0,Instant
3102,Luxa River Shrine,"{1}, {T}: You gain 1 life. Put a brick counter on Luxa River Shrine.
{T}: You gain 2 life. Activate only if there are three or more brick counters on Luxa River Shrine.",3.0,Artifact
3103,Boldwyr Intimidator,"Cowards can't block Warriors.
{R}: Target creature becomes a Coward until end of turn.
{2}{R}: Target creature becomes a Warrior until end of turn.",7.0,Creature — Giant Warrior
3104,Heed the Mists,"Mill a card, then draw cards equal to the milled card's mana value.",5.0,Sorcery — Arcane
3105,Reliquary Tower,"You have no maximum hand size.
{T}: Add {C}.",0.0,Land
3106,"Adamaro, First to Desire","Adamaro, First to Desire's power and toughness are each equal to the number of cards in the hand of the opponent with the most cards in hand.",3.0,Legendary Creature — Spirit
3107,Alert Heedbonder,"Vigilance
At the beginning of your end step, you gain 1 life for each creature you control with vigilance.",3.0,Creature — Human Scout
3108,Scrounger of Souls,Lifelink (Damage dealt by this creature also causes you to gain that much life.),5.0,Creature — Horror
3109,Aerial Guide,"Flying
Whenever Aerial Guide attacks, another target attacking creature gains flying until end of turn.",3.0,Creature — Drake
3110,Patagia Tiger,"Flying
When Patagia Tiger enters the battlefield, target Human you control gets +2/+2 until end of turn.",5.0,Creature — Cat
3111,Ankle Shanker,"Haste
Whenever Ankle Shanker attacks, creatures you control gain first strike and deathtouch until end of turn.",5.0,Creature — Goblin Berserker
3112,Dire Flail // Dire Blunderbuss,None,1.0,Artifact — Equipment // Artifact — Equipment
3113,Manticore Eternal,"Afflict 3 (Whenever this creature becomes blocked, defending player loses 3 life.)
Manticore Eternal attacks each combat if able.",5.0,Creature — Zombie Manticore
3114,Moonlight Hunt,Choose target creature you don't control. Each creature you control that's a Wolf or a Werewolf deals damage equal to its power to that creature.,2.0,Instant
3115,"Leinore, Autumn Sovereign","Coven — At the beginning of combat on your turn, put a +1/+1 counter on up to one target creature you control. Then if you control three or more creatures with different powers, draw a card.",4.0,Legendary Creature — Human Noble
3116,Doomsday Specter,"Flying
When Doomsday Specter enters the battlefield, return a blue or black creature you control to its owner's hand.
Whenever Doomsday Specter deals combat damage to a player, look at that player's hand and choose a card from it. The player discards that card.",4.0,Creature — Specter
3117,Thundering Mightmare,"Soulbond (You may pair this creature with another unpaired creature when either enters the battlefield. They remain paired for as long as you control both of them.)
As long as Thundering Mightmare is paired with another creature, each of those creatures has ""Whenever an opponent casts a spell, put a +1/+1 counter on this creature.""",5.0,Creature — Horse Spirit
3118,Executioner's Capsule,"{1}{B}, {T}, Sacrifice Executioner's Capsule: Destroy target nonblack creature.",1.0,Artifact
3119,Centaur Archer,{T}: Centaur Archer deals 1 damage to target creature with flying.,3.0,Creature — Centaur Archer
3120,Anaba Ancestor,{T}: Another target Minotaur creature gets +1/+1 until end of turn.,2.0,Creature — Minotaur Spirit
3121,Embalmer's Tools,"Activated abilities of creature cards in your graveyard cost {1} less to activate.
Tap an untapped Zombie you control: Target player mills a card.",2.0,Artifact
3122,Morkrut Necropod,"Menace (This creature can't be blocked except by two or more creatures.)
Whenever Morkrut Necropod attacks or blocks, sacrifice another creature or land.",6.0,Creature — Slug Horror
3123,Baral and Kari Zev,"First strike, menace
Whenever you cast your first instant or sorcery spell each turn, you may cast a spell with lesser mana value that shares a card type with it from your hand without paying its mana cost. If you don't, create First Mate Ragavan, a legendary 2/1 red Monkey Pirate creature token. It gains haste until end of turn.",3.0,Legendary Creature — Human
3124,Acolyte of Xathrid,"{1}{B}, {T}: Target player loses 1 life.",1.0,Creature — Human Cleric
3125,Spire Barrage,Spire Barrage deals damage to any target equal to the number of Mountains you control.,5.0,Sorcery
3126,Ironclad Revolutionary,"When Ironclad Revolutionary enters the battlefield, you may sacrifice an artifact. If you do, put two +1/+1 counters on Ironclad Revolutionary and each opponent loses 2 life.",6.0,Creature — Aetherborn Artificer
3127,Avalanche Riders,"Haste
Echo {3}{R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)
When Avalanche Riders enters the battlefield, destroy target land.",4.0,Creature — Human Nomad
3128,Phantom Interference,"Spree (Choose one or more additional costs.)
+ {3} — Create a 2/2 white Spirit creature token with flying.
+ {1} — Counter target spell unless its controller pays {2}.",1.0,Instant
3129,Ghostway,Exile each creature you control. Return those cards to the battlefield under their owner's control at the beginning of the next end step.,3.0,Instant
3130,"Astor, Bearer of Blades","When Astor, Bearer of Blades enters the battlefield, look at the top seven cards of your library. You may reveal an Equipment or Vehicle card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.
Equipment you control have equip {1}.
Vehicles you control have crew 1.",4.0,Legendary Creature — Human Warrior
3131,Goblin Flectomancer,Sacrifice Goblin Flectomancer: You may change the targets of target instant or sorcery spell.,3.0,Creature — Goblin Wizard
3132,Hideous End,Destroy target nonblack creature. Its controller loses 2 life.,3.0,Instant
3133,Hazoret's Monument,"Red creature spells you cast cost {1} less to cast.
Whenever you cast a creature spell, you may discard a card. If you do, draw a card.",3.0,Legendary Artifact
3134,Ashiok's Reaper,"Whenever an enchantment you control is put into a graveyard from the battlefield, draw a card.",4.0,Creature — Nightmare
3135,Angelic Quartermaster,"Flying
When Angelic Quartermaster enters the battlefield, put a +1/+1 counter on each of up to two other target creatures.",5.0,Creature — Angel Soldier
3136,Getaway Glamer,"Spree (Choose one or more additional costs.)
+ {1} — Exile target nontoken creature. Return it to the battlefield under its owner's control at the beginning of the next end step.
+ {2} — Destroy target creature if no other creature has greater power.",1.0,Instant
3137,Memory Deluge,"Look at the top X cards of your library, where X is the amount of mana spent to cast this spell. Put two of them into your hand and the rest on the bottom of your library in a random order.
Flashback {5}{U}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",4.0,Instant
3138,Aven Initiate,"Flying
Embalm {6}{U} ({6}{U}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a white Zombie Bird Warrior with no mana cost. Embalm only as a sorcery.)",4.0,Creature — Bird Warrior
3139,Elite Scaleguard,"When Elite Scaleguard enters the battlefield, bolster 2. (Choose a creature with the least toughness among creatures you control and put two +1/+1 counters on it.)
Whenever a creature you control with a +1/+1 counter on it attacks, tap target creature defending player controls.",5.0,Creature — Human Soldier
3140,Healing Grace,Prevent the next 3 damage that would be dealt to any target this turn by a source of your choice. You gain 3 life.,1.0,Instant
3141,Ornamental Courage,Untap target creature. It gets +1/+3 until end of turn.,1.0,Instant
3142,Hand of Emrakul,"You may sacrifice four Eldrazi Spawn rather than pay this spell's mana cost.
Annihilator 1 (Whenever this creature attacks, defending player sacrifices a permanent.)",9.0,Creature — Eldrazi
3143,Mogg Jailer,Mogg Jailer can't attack if defending player controls an untapped creature with power 2 or less.,2.0,Creature — Goblin
3144,Befriending the Moths // Imperial Moth,None,4.0,Enchantment — Saga // Enchantment Creature — Insect
3145,Goblin Piker,,2.0,Creature — Goblin Warrior
3146,Elvish Clancaller,"Other Elves you control get +1/+1.
{4}{G}{G}, {T}: Search your library for a card named Elvish Clancaller, put it onto the battlefield, then shuffle.",2.0,Creature — Elf Druid
3147,Dream Thrush,"Flying
{T}: Target land becomes the basic land type of your choice until end of turn.",2.0,Creature — Bird
3148,Goham Djinn,"{1}{B}: Regenerate Goham Djinn.
Goham Djinn gets -2/-2 as long as black is the most common color among all permanents or is tied for most common.",6.0,Creature — Djinn
3149,Shapeshifter's Marrow,"At the beginning of each opponent's upkeep, that player reveals the top card of their library. If it's a creature card, the player puts the card into their graveyard and Shapeshifter's Marrow becomes a copy of that card. (If it does, it loses this ability.)",4.0,Enchantment
3150,Debtors' Transport,"Afterlife 2 (When this creature dies, create two 1/1 white and black Spirit creature tokens with flying.)",6.0,Creature — Thrull
3151,Assembly-Worker,{T}: Target Assembly-Worker creature gets +1/+1 until end of turn.,3.0,Artifact Creature — Assembly-Worker
3152,Rescue from the Underworld,"As an additional cost to cast this spell, sacrifice a creature.
Choose target creature card in your graveyard. Return that card and the sacrificed card to the battlefield under your control at the beginning of your next upkeep. Exile Rescue from the Underworld.",5.0,Instant
3153,Hunter's Insight,"Choose target creature you control. Whenever that creature deals combat damage to a player or planeswalker this turn, draw that many cards.",3.0,Instant
3154,Cloudblazer,"Flying
When Cloudblazer enters the battlefield, you gain 2 life and draw two cards.",5.0,Creature — Human Scout
3155,Whip Sergeant,{R}: Target creature gains haste until end of turn. (It can attack this turn.),3.0,Creature — Human Soldier
3156,Memory Crystal,Buyback costs cost {2} less.,3.0,Artifact
